model,accuracy,precision,recall,f1_score,false_positive_rate,true_negatives,false_positives,false_negatives,true_positives
Logistic Regression,0.91066,0.7012336448598131,0.9521827411167513,0.8076641550053821,0.09952677459526775,36154,3996,471,9379
Random Forest,0.99854,0.9978612893369997,0.9947208121827411,0.9962885759316691,0.0005230386052303861,40129,21,52,9798
